"SKU";"Name";"Category";"Brand";"Seller";"Color";"Balance";"Balance FBS";"Comments";"Final price";"Max price";"Min price";"Average price";"Median price";"Sales";"Revenue";"Revenue potential";"Revenue average";"Lost profit";"Lost profit percent";"URL";"Thumb";"Days in stock";"Days with sales";"Average if in stock";"Rating";"Basic Sale";"Basic Sale Price";"Promo Sale";"Base price";"SPP";"SPP Price";"FBS";"Subject ID";"Category Position";"Categories Last Count";"Sales Per Day Average";"Country";"Gender";"First Date";"First Comment Date";"Pics Count";"Has 3D";"Hax Video";"Comments Valuation";"Card Rating";"Subject";"Purchase";"Purchase After Return";"Turnover";"Turnover days";"26.07.2023 Sales";"27.07.2023 Sales";"28.07.2023 Sales";"29.07.2023 Sales";"30.07.2023 Sales";"31.07.2023 Sales";"01.08.2023 Sales";"02.08.2023 Sales";"03.08.2023 Sales";"04.08.2023 Sales";"05.08.2023 Sales";"06.08.2023 Sales";"07.08.2023 Sales";"08.08.2023 Sales";"09.08.2023 Sales";"10.08.2023 Sales";"11.08.2023 Sales";"12.08.2023 Sales";"13.08.2023 Sales";"14.08.2023 Sales";"15.08.2023 Sales";"16.08.2023 Sales";"17.08.2023 Sales";"18.08.2023 Sales";"19.08.2023 Sales";"20.08.2023 Sales";"21.08.2023 Sales";"22.08.2023 Sales";"23.08.2023 Sales";"24.08.2023 Sales";"26.07.2023 Revenue";"27.07.2023 Revenue";"28.07.2023 Revenue";"29.07.2023 Revenue";"30.07.2023 Revenue";"31.07.2023 Revenue";"01.08.2023 Revenue";"02.08.2023 Revenue";"03.08.2023 Revenue";"04.08.2023 Revenue";"05.08.2023 Revenue";"06.08.2023 Revenue";"07.08.2023 Revenue";"08.08.2023 Revenue";"09.08.2023 Revenue";"10.08.2023 Revenue";"11.08.2023 Revenue";"12.08.2023 Revenue";"13.08.2023 Revenue";"14.08.2023 Revenue";"15.08.2023 Revenue";"16.08.2023 Revenue";"17.08.2023 Revenue";"18.08.2023 Revenue";"19.08.2023 Revenue";"20.08.2023 Revenue";"21.08.2023 Revenue";"22.08.2023 Revenue";"23.08.2023 Revenue";"24.08.2023 Revenue";"26.07.2023 Stocks";"27.07.2023 Stocks";"28.07.2023 Stocks";"29.07.2023 Stocks";"30.07.2023 Stocks";"31.07.2023 Stocks";"01.08.2023 Stocks";"02.08.2023 Stocks";"03.08.2023 Stocks";"04.08.2023 Stocks";"05.08.2023 Stocks";"06.08.2023 Stocks";"07.08.2023 Stocks";"08.08.2023 Stocks";"09.08.2023 Stocks";"10.08.2023 Stocks";"11.08.2023 Stocks";"12.08.2023 Stocks";"13.08.2023 Stocks";"14.08.2023 Stocks";"15.08.2023 Stocks";"16.08.2023 Stocks";"17.08.2023 Stocks";"18.08.2023 Stocks";"19.08.2023 Stocks";"20.08.2023 Stocks";"21.08.2023 Stocks";"22.08.2023 Stocks";"23.08.2023 Stocks";"24.08.2023 Stocks";"26.07.2023 Price";"27.07.2023 Price";"28.07.2023 Price";"29.07.2023 Price";"30.07.2023 Price";"31.07.2023 Price";"01.08.2023 Price";"02.08.2023 Price";"03.08.2023 Price";"04.08.2023 Price";"05.08.2023 Price";"06.08.2023 Price";"07.08.2023 Price";"08.08.2023 Price";"09.08.2023 Price";"10.08.2023 Price";"11.08.2023 Price";"12.08.2023 Price";"13.08.2023 Price";"14.08.2023 Price";"15.08.2023 Price";"16.08.2023 Price";"17.08.2023 Price";"18.08.2023 Price";"19.08.2023 Price";"20.08.2023 Price";"21.08.2023 Price";"22.08.2023 Price";"23.08.2023 Price";"24.08.2023 Price";"26.07.2023 Queries";"27.07.2023 Queries";"28.07.2023 Queries";"29.07.2023 Queries";"30.07.2023 Queries";"31.07.2023 Queries";"01.08.2023 Queries";"02.08.2023 Queries";"03.08.2023 Queries";"04.08.2023 Queries";"05.08.2023 Queries";"06.08.2023 Queries";"07.08.2023 Queries";"08.08.2023 Queries";"09.08.2023 Queries";"10.08.2023 Queries";"11.08.2023 Queries";"12.08.2023 Queries";"13.08.2023 Queries";"14.08.2023 Queries";"15.08.2023 Queries";"16.08.2023 Queries";"17.08.2023 Queries";"18.08.2023 Queries";"19.08.2023 Queries";"20.08.2023 Queries";"21.08.2023 Queries";"22.08.2023 Queries";"23.08.2023 Queries";"24.08.2023 Queries"
139021152;"Чехол на руль в машину, Оплётка на руль 38см, Тюнинг";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"BPU AUTO";"ООО БПУ Трейд";"черный";30;0;272;676;676;597;"635,0248";656;242;153676;"153676";"5122,5333";"0";"0";"https://www.wildberries.ru/catalog/139021152/detail.aspx";"https://basket-10.wb.ru/vol1390/part139021/139021152/images/c246x328/1.jpg";30;30;"8,0667";"5";66;676;0;1990;15;575;0;766;3311;1;"8,0667";"Китай";"";"2022-12-03";"2022-12-18";6;0;0;"4,59";70;"Автомобильные товары / Оплетки на руль";92;91;"3,08";10;11;19;15;10;7;13;8;14;7;6;9;5;3;8;8;8;11;8;12;7;8;4;8;4;4;7;4;1;4;9;6567;11343;8955;5970;4179;7761;4776;8358;4179;3936;5904;3280;1968;5248;5248;5248;7216;5248;7872;4592;5408;2704;5408;2704;2704;4732;2704;676;2704;6084;127;106;129;119;112;100;93;81;75;70;77;73;73;66;88;112;101;93;81;74;67;65;57;53;51;45;42;41;38;30;597;597;597;597;597;597;597;597;597;656;656;656;656;656;656;656;656;656;656;656;676;676;676;676;676;676;676;676;676;676;83;87;92;97;97;97;98;100;118;115;70;69;68;64;64;113;64;65;67;75;64;70;64;62;64;64;66;67;67;59
141295642;"Чехол на руль в машину, Оплётка на руль 38см, Тюнинг";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"BPU AUTO";"ООО БПУ Трейд";"глубокий черный";0;0;272;796;796;577;"636,6667";656;204;129880;"139157,1429";"4329,3333";"9277,1429";"6,6667";"https://www.wildberries.ru/catalog/141295642/detail.aspx";"https://basket-10.wb.ru/vol1412/part141295/141295642/images/c246x328/1.jpg";28;29;"7,0357";"5";60;796;0;1990;15;676;0;766;605;1;"6,8";"Китай";"";"2022-12-26";"2022-12-18";6;0;0;"4,59";70;"Автомобильные товары / Оплетки на руль";92;91;"4,25";7;12;14;14;4;6;9;14;13;10;10;6;11;4;5;11;10;7;3;3;12;4;2;3;2;3;1;4;5;0;2;6924;8078;8078;2308;3462;5193;8078;7501;5770;6560;3936;7216;2624;3280;7216;6560;4592;1968;1968;7872;3184;1592;2388;1592;2388;796;3184;3980;0;1592;96;82;107;103;98;89;75;66;58;49;79;68;64;60;49;39;32;31;28;18;15;15;12;10;8;7;3;0;2;0;577;577;577;577;577;577;577;577;577;656;656;656;656;656;656;656;656;656;656;656;796;796;796;796;796;796;796;796;796;796;48;60;86;94;46;43;42;47;48;47;62;71;68;72;72;135;68;79;80;91;75;68;50;59;64;62;53;48;0;58
15762382;"Оплётка на руль автомобиля спонжевая М 37-39 см";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"Feen";"ООО ДМ Маркет";"черный";129;0;1564;833;1029;833;"836,3793";833;116;97020;"97020";"3234";"0";"0";"https://www.wildberries.ru/catalog/15762382/detail.aspx";"https://basket-02.wb.ru/vol157/part15762/15762382/images/c246x328/1.jpg";30;26;"3,8667";"5";51;833;0;1700;16;699;0;766;530;1;"3,8667";"Китай";"";"2020-10-16";"2020-10-26";7;0;0;"4,8";73;"Автомобильные товары / Оплетки на руль";92;91;"1,78";17;1;0;0;1;0;0;2;6;6;10;3;3;3;5;4;3;6;2;3;11;5;6;5;7;9;2;4;5;3;1;1029;0;0;1029;0;0;1666;4998;4998;8330;2499;2499;2499;4165;3332;2499;4998;1666;2499;9163;4165;4998;4165;5831;7497;1666;3332;4165;2499;833;1;1;2;1;121;121;119;114;132;182;179;176;173;169;164;161;155;151;178;167;170;164;159;152;142;140;136;132;130;129;1029;1029;1029;1029;1029;1029;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;28;28;58;7;7;26;23;19;22;29;32;31;35;31;29;30;30;29;30;30;26;27;63;41;59;34;49;31;84;39
114255767;"Оплётка на руль автомобиля сшивная М 37-39 см чехол";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"Feen";"ООО ДМ Маркет";"черный меланж";187;0;1038;715;833;715;"715,9583";715;72;51549;"85915";"1718,3";"34366";"40";"https://www.wildberries.ru/catalog/114255767/detail.aspx";"https://basket-08.wb.ru/vol1142/part114255/114255767/images/c246x328/1.jpg";18;17;"3,8889";"5";51;715;0;1460;16;600;0;766;3337;1;"2,4";"";"";"2022-07-25";"2020-11-10";7;0;0;"4,59";63;"Автомобильные товары / Оплетки на руль";92;91;"0,77";39;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;6;2;3;3;4;12;4;5;9;7;6;2;1;3;784;0;0;0;0;0;0;0;0;0;715;0;0;0;0;2145;4290;1430;2145;2145;2860;8580;2860;3575;6435;5005;4290;1430;715;2145;0;0;0;0;0;0;0;0;0;1;0;0;0;39;116;113;107;104;101;154;150;138;125;120;108;101;95;93;92;187;784;784;784;784;784;784;833;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;0;0;0;0;0;0;0;0;0;0;154;0;0;0;132;137;134;140;143;139;139;138;134;136;140;157;151;163;165;164
27047983;"Оплётка на руль со стразами / Чехол на руль со стразами";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"AutoLine";"ИП Хадиев А Г";"";7;0;200;1134;1134;1092;"1106";1092;42;46452;"51613,3333";"1548,4";"5161,3333";"10";"https://www.wildberries.ru/catalog/27047983/detail.aspx";"https://basket-02.wb.ru/vol270/part27047/27047983/images/c246x328/1.jpg";27;17;"1,5185";"5";46;1134;0;2100;16;952;0;766;-1;0;"1,4";"Китай";"";"2021-04-26";"2021-05-03";6;0;0;"4,9";76;"Автомобильные товары / Оплетки на руль";92;91;"4,94";6;0;4;1;5;1;0;0;0;4;2;2;0;2;2;0;3;2;0;0;1;0;2;0;5;0;0;3;2;1;0;0;4368;1092;5460;1092;0;0;0;4368;2184;2184;0;2184;2184;0;3276;2184;0;0;1134;0;2268;0;5670;0;0;3402;2268;1134;0;10;6;6;1;0;0;0;20;16;15;13;13;11;9;9;6;4;4;22;21;21;19;19;14;13;13;10;8;7;7;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;22;22;24;34;26;0;0;11;30;33;34;35;33;32;31;31;28;32;32;32;33;33;33;31;31;32;31;31;31;32
21054203;"Оплётка на руль DSV неопрен с вставками Black+Blue";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"DSV";"ООО СЗ Вояж";"";1;0;368;450;450;399;"441,1304";450;92;40584;"40584";"1352,8";"0";"0";"https://www.wildberries.ru/catalog/21054203/detail.aspx";"https://basket-02.wb.ru/vol210/part21054/21054203/images/c246x328/1.jpg";30;30;"3,0667";"5";47;450;0;850;15;382;0;766;-1;0;"3,0667";"";"";"2021-03-18";"2021-05-10";8;0;0;"4,5";73;"Автомобильные товары / Оплетки на руль";92;91;"2,75";11;1;3;2;2;3;5;5;4;2;3;2;4;4;3;3;6;3;5;2;1;7;1;4;2;3;3;2;1;2;4;399;1197;798;798;1197;1995;2250;1800;900;1350;900;1800;1800;1350;1350;2700;1350;2250;900;450;3150;450;1800;900;1350;1350;900;450;900;1800;66;63;61;58;55;50;45;41;38;35;54;50;46;44;42;36;33;28;26;25;18;18;14;12;9;6;5;7;5;1;399;399;399;399;399;399;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;34;34;37;37;39;35;29;29;29;26;35;44;39;42;47;44;43;54;41;41;40;44;40;40;41;41;41;42;40;40
144906201;"Оплётка на руль силиконовая универсальная";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"WerdjinAl";"ИП Ташматов";"черный";106;75;44;680;680;680;"680";680;58;39440;"39440";"1314,6667";"0";"0";"https://www.wildberries.ru/catalog/144906201/detail.aspx";"https://basket-10.wb.ru/vol1449/part144906/144906201/images/c246x328/1.jpg";30;26;"1,9333";"5";60;680;0;1700;16;571;1;766;667;1;"1,9333";"";"";"2023-02-03";"2023-02-09";8;0;1;"4,59";70;"Автомобильные товары / Оплетки на руль";92;91;"0,44";69;3;2;0;2;0;1;1;2;3;1;3;3;2;0;2;1;1;2;2;1;3;2;0;4;4;2;2;4;4;1;2040;1360;0;1360;0;680;680;1360;2040;680;2040;2040;1360;0;1360;680;680;1360;1360;680;2040;1360;0;2720;2720;1360;1360;2720;2720;680;159;157;157;155;155;154;153;151;148;147;144;141;139;139;137;136;135;133;131;130;127;126;126;122;119;117;115;111;107;106;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;680;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;7;4;4;5;5;5;5;5;5;26;6;6;6;6;6
27048774;"Оплётка на руль со стразами / Чехол на руль со стразами";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"AutoLine";"ИП Хадиев А Г";"";14;0;200;1134;1134;1092;"1100,9091";1092;33;36330;"37582,7586";"1211";"1252,7586";"3,3333";"https://www.wildberries.ru/catalog/27048774/detail.aspx";"https://basket-02.wb.ru/vol270/part27048/27048774/images/c246x328/1.jpg";29;20;"1,1034";"5";46;1134;0;2100;16;952;0;766;-1;0;"1,1";"Китай";"";"2021-04-26";"2021-05-03";6;0;0;"4,9";76;"Автомобильные товары / Оплетки на руль";92;91;"3,3";9;1;0;1;1;1;2;1;1;3;1;4;3;1;0;2;2;2;0;1;0;0;0;2;0;2;1;0;0;1;0;1092;0;1092;1092;1092;2184;1092;1092;3276;1092;4368;3276;1092;0;2184;2184;2184;0;1134;0;0;0;2268;0;2268;1134;0;0;1134;0;6;6;5;4;3;1;0;19;16;16;12;9;8;8;6;4;2;20;19;19;19;20;18;18;16;15;15;15;14;14;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;34;27;25;26;28;28;27;9;27;28;27;27;27;31;30;29;29;29;29;29;35;35;32;32;33;31;31;27;26;27
166226517;"Оплётка на руль автомобиля сшивная М 37-39 см чехол";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"DrivePro";"ИП Тупорев Р А";"черно-красный";51;0;29;830;830;830;"830";830;25;20750;"69166,6667";"691,6667";"48416,6667";"70";"https://www.wildberries.ru/catalog/166226517/detail.aspx";"https://basket-12.wb.ru/vol1662/part166226/166226517/images/c246x328/1.jpg";9;11;"2,4444";"5";38;830;0;1340;15;706;0;766;-1;0;"0,8333";"Китай";"";"2023-07-09";"2023-07-05";8;0;0;"4,8";60;"Автомобильные товары / Оплетки на руль";92;91;"0,69";43;1;3;6;3;2;2;4;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;830;2490;4980;2490;1660;1660;3320;830;0;0;0;0;0;830;0;0;0;0;0;830;0;0;0;0;0;0;0;0;0;830;21;18;12;9;7;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;112;111;117;118;117;116;113;136;0;0;0;0;0;112;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0
133885273;"Оплётка на руль автомобиля из натуральной кожи";"Автотовары/Аксессуары в салон и багажник/Чехлы и накидки";"New Galaxy";"ООО Константа Торг";"черный";7;11;25;887;887;887;"887";887;22;19514;"19514";"650,4667";"0";"0";"https://www.wildberries.ru/catalog/133885273/detail.aspx";"https://basket-10.wb.ru/vol1338/part133885/133885273/images/c246x328/1.jpg";30;13;"0,7333";"5";51;887;0;1812;16;745;1;766;3777;1;"0,7333";"Китай";"";"2022-11-15";"2022-12-21";7;0;0;"4,59";50;"Автомобильные товары / Оплетки на руль";92;91;"3,67";8;0;0;0;1;1;0;0;0;1;2;1;0;0;0;1;2;0;2;2;1;0;3;0;0;2;0;0;3;0;0;0;0;0;887;887;0;0;0;887;1774;887;0;0;0;887;1774;0;1774;1774;887;0;2661;0;0;1774;0;0;2661;0;0;5;5;5;4;3;3;9;9;8;6;5;5;5;11;10;8;8;6;5;5;15;12;12;12;10;10;10;7;7;7;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;887;57;55;60;51;53;58;60;59;60;39;38;37;37;39;33;33;42;43;46;50;50;67;54;55;56;56;54;48;48;54
